index,Grid_X,Grid_Y,Longitude,Latitude
147,69,75,127.46493333333333,35.19945833333333
148,69,107,127.4832888888889,36.63726111111111
149,69,107,127.48766388888889,36.644305555555555
150,70,70,127.48933055555555,34.947605555555555
151,69,125,127.48988611111112,37.48893611111111
152,69,95,127.49030833333333,36.105869444444444
153,69,107,127.49358611111111,36.6325
154,69,106,127.51173055555556,36.58399722222222
155,69,133,127.51177777777778,37.82883055555556
156,70,85,127.5233,35.64429722222222
157,71,99,127.57363333333333,36.303549999999994
158,71,110,127.58328888888889,36.782180555555556
159,71,121,127.639622222222,37.29535833333333
160,72,93,127.66286666666667,36.00382777777778
161,73,66,127.66438611111111,34.757311111111115
162,72,113,127.69262222222223,36.93740555555555
163,73,70,127.69817777777779,34.93753611111111
164,72,139,127.71035555555555,38.103408333333334
165,74,82,127.72741944444445,35.517469444444444
166,73,103,127.73160833333334,36.486533333333334
167,73,134,127.731975,37.882691666666666
168,73,134,127.73231111111112,37.87854166666667
169,74,73,127.75343055555555,35.06420277777777
170,74,97,127.78561111111111,36.17205833333333
171,74,111,127.78883055555555,36.81243055555555
172,76,80,127.87561944444444,35.41249166666667
173,75,130,127.89084166666667,37.69442222222222
174,77,68,127.89446666666667,34.834558333333334
175,77,86,127.91165555555555,35.683625
176,76,122,127.92205555555556,37.339083333333335
177,76,114,127.92814444444446,36.98818055555556
178,77,125,127.98722222222223,37.488958333333336
179,77,139,127.99224444444445,38.10729166666667
180,80,71,128.0667777777778,35.000283333333336
181,81,75,128.10999999999999,35.177033333333334
182,80,96,128.1158,36.136897222222224
183,81,102,128.1612638888889,36.40796944444444
184,81,84,128.16793055555556,35.56361666666666
185,80,138,128.1726972222222,38.066972222222226
186,81,106,128.18901944444445,36.58363055555556
187,81,118,128.19315277777778,37.12976944444444
188,83,78,128.26382222222222,35.319119444444446
189,83,87,128.26502222222223,35.72298611111111
190,83,91,128.28515277777777,35.91621111111111
191,85,71,128.32454166666668,34.9699
192,84,96,128.3467777777778,36.116550000000004
193,84,115,128.36784166666666,36.98178055555556
194,84,123,128.39235277777777,37.367916666666666
195,85,93,128.40379722222224,35.99254722222222
196,86,77,128.40870833333335,35.26940555555556
197,86,88,128.43327499999998,35.771680555555555
198,87,68,128.43527777777777,34.851258333333334
199,86,107,128.4550222222222,36.65495
200,86,119,128.46401944444443,37.180861111111106
201,85,145,128.4701638888889,38.37796111111111
202,87,83,128.49453333333332,35.54153611111111
203,88,90,128.53506388888889,35.82692777777778
204,88,90,128.5614111111111,35.86879444444445
205,88,99,128.57507777777778,36.23999722222222
206,89,91,128.58502222222222,35.8827
207,87,141,128.59416666666667,38.204275
208,89,90,128.59980000000002,35.84297777777778
209,89,91,128.60276666666667,35.889605555555555
210,89,90,128.60355277777776,35.868541666666665
211,89,90,128.6083972222222,35.866286111111116
212,88,138,128.62135555555557,38.072833333333335
213,90,69,128.62335555555558,34.87735833333333
214,89,111,128.62634444444444,36.80293611111111
215,89,90,128.63286666666667,35.85520833333334
216,90,91,128.63771111111112,35.88361666666667
217,89,123,128.6630861111111,37.377808333333334
218,91,77,128.69416666666666,35.23473611111111
219,90,101,128.69936388888888,36.349758333333334
220,91,106,128.73162222222223,36.565463888888885
221,90,113,128.734875,36.89026111111111
222,91,86,128.7362,35.64431111111111
223,91,90,128.74346388888887,35.82208888888889
224,92,83,128.74894444444442,35.50077777777778
225,92,131,128.87849722222222,37.74913611111111
226,95,77,128.89166666666665,35.22550555555556
227,95,93,128.940775,35.97005277777778
228,96,74,128.97704166666668,35.10142777777778
229,96,76,128.98290833333334,35.209163888888895
230,95,119,128.98799722222222,37.161227777777775
231,96,76,128.99247499999998,35.194180555555555
232,96,75,128.9933333333333,35.14946666666667
233,97,74,129.02637777777778,35.094836111111114
234,97,74,129.03450833333332,35.10321666666667
235,97,79,129.03941111111112,35.33192777777778
236,97,75,129.05531944444445,35.159952777777775
237,98,75,129.059175,35.135894444444446
238,96 ,103,129.0594,36.43329166666666
239,98,74,129.0701861111111,35.08811666666667
240,98,76,129.07695277777776,35.17701944444444
241,98,76,129.082075,35.17318611111111
242,98,76,129.08585555555555,35.20187222222223
243,98,75,129.0865,35.133408333333335
244,98,77,129.09431944444447,35.24007777777778
245,97,108,129.1146222222222,36.664274999999996
246,99,75,129.115375,35.142466666666664
247,97,127,129.11663333333334,37.52193055555556
248,99,75,129.16580833333333,35.160019444444444
249,98,125,129.16748888888887,37.447086111111105
250,100,77,129.224475,35.241350000000004
251,100,91,129.22702222222222,35.85316944444445
252,101,84,129.2971638888889,35.53073888888889
253,102,84,129.3136888888889,35.53540833333333
254,102,84,129.3323861111111,35.54076388888889
255,102,84,129.334875,35.566341666666666
256,102,94,129.36166666666665,36.00568611111111
257,103,85,129.36354444444444,35.57968888888889
258,102,95,129.36790833333333,36.03885
259,102,103,129.36835555555555,36.412102777777775
260,102,115,129.4027861111111,36.990186111111115
261,104,83,129.41895277777778,35.50188888888889
262,127,127,130.9037888888889,37.480575
